version,release_date,build,eol_date,name,announcement_url
23.01.x,2023-06-20,,,7-Zip,https://www.7-zip.org/history.txt
23.00.x,2023-05-07,,2023-06-20,7-Zip,https://www.7-zip.org/history.txt
22.01.x,2022-07-15,,2023-05-07,7-Zip,https://www.7-zip.org/history.txt
22.00.x,2022-06-15,,2022-07-15,7-Zip,https://www.7-zip.org/history.txt
21.07.x,2021-12-26,,2022-06-15,7-Zip,https://www.7-zip.org/history.txt
21.06.x,2021-11-24,,2021-12-26,7-Zip,https://www.7-zip.org/history.txt
21.04.x,2021-11-02, beta,2021-11-24,7-Zip,https://www.7-zip.org/history.txt
21.03.x,2021-07-20, beta,2021-11-02,7-Zip,https://www.7-zip.org/history.txt
21.02.x,2021-05-06, alpha,2021-07-20,7-Zip,https://www.7-zip.org/history.txt
21.01.x,2021-03-09, alpha,2021-05-06,7-Zip,https://www.7-zip.org/history.txt
21.00.x,2021-01-19, alpha,2021-03-09,7-Zip,https://www.7-zip.org/history.txt
20.02.x,2020-08-08, alpha,2021-01-19,7-Zip,https://www.7-zip.org/history.txt
20.00.x,2020-02-06, alpha,2020-08-08,7-Zip,https://www.7-zip.org/history.txt
19.02.x,2019-09-05, alpha,2020-02-06,7-Zip,https://www.7-zip.org/history.txt
19.00.x,2019-02-21,,2019-09-05,7-Zip,https://www.7-zip.org/history.txt
18.06.x,2018-12-30,,2019-02-21,7-Zip,https://www.7-zip.org/history.txt
18.05.x,2018-04-30,,2018-12-30,7-Zip,https://www.7-zip.org/history.txt
18.03.x,2018-03-04, beta,2018-04-30,7-Zip,https://www.7-zip.org/history.txt
18.01.x,2018-01-28,,2018-03-04,7-Zip,https://www.7-zip.org/history.txt
18.00.x,2018-01-10, beta,2018-01-28,7-Zip,https://www.7-zip.org/history.txt
17.01.x,2017-08-28, beta,2018-01-10,7-Zip,https://www.7-zip.org/history.txt
17.00.x,2017-04-29, beta,2017-08-28,7-Zip,https://www.7-zip.org/history.txt
16.04.x,2016-10-04,,2017-04-29,7-Zip,https://www.7-zip.org/history.txt
16.03.x,2016-09-28,,2016-10-04,7-Zip,https://www.7-zip.org/history.txt
16.02.x,2016-05-21,,2016-09-28,7-Zip,https://www.7-zip.org/history.txt
